time_ms,left_cmd_torque,right_cmd_torque,fl_vel,fr_vel,robot_vel
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,-0,-0,0,0,0
23,-0,-0,0,0,0
24,-0,-0,0,0,0
25,-0,-0,0,0,0
26,-0,-0,0,0,0
27,-0,-0,0,0,0
28,-0,-0,0,0,0
29,-0,-0,0,0,0
30,-0,-0,0,0,0
31,-0,-0,0,0,0
32,-0,-0,0,0,0
33,-0,-0,0,0,0
34,-0,-0,0,0,0
35,-0,-0,0,0,0
36,-0,-0,0,0,0
37,-0,-0,0,0,0
38,-0,-0,0,0,0
39,-0,-0,0,0,0
40,-0,-0,0,0,0
41,-0,-0,0,0,0
42,-0,-0,0,0,0
43,-0,-0,0,0,0
44,-0,-0,0,0,0
45,-0,-0,0,0,0
46,-0,-0,0,0,0
47,-0,-0,0,0,0
48,-0,-0,0,0,0
49,-0,-0,0,0,0
50,-0,-0,0,0,0
51,-0,-0,0,0,0
52,-0,-0,0,0,0
53,-0,-0,0,0,0
54,-0,-0,0,0,0
55,-0,-0,0,0,0
56,-0,-0,0,0,0
57,-0,-0,0,0,0
58,-0,-0,0,0,0
59,-0,-0,0,0,0
60,-0,-0,0,0,0
61,-0,-0,0,0,0
62,-0,-0,0,0,0
63,-0,-0,0,0,0
64,-0,-0,0,0,0
65,-0,-0,0,0,0
66,-0,-0,0,0,0
67,-0,-0,0,0,0
68,-0,-0,0,0,0
69,-0,-0,0,0,0
70,-0,-0,0,0,0
71,-0,-0,0,0,0
72,-0,-0,0,0,0
73,-0,-0,0,0,0
74,-0,-0,0,0,0
75,-0,-0,0,0,0
76,-0,-0,0,0,0
77,-0,-0,0,0,0
78,-0,-0,0,0,0
79,-0,-0,0,0,0
80,-0,-0,0,0,0
81,-0,-0,0,0,0
82,-0,-0,0,0,0
83,-0,-0,0,0,0
84,-0,-0,0,0,0
85,-0,-0,0,0,0
86,-0,-0,0,0,0
87,-0,-0,0,0,0
88,-0,-0,0,0,0
89,-0,-0,0,0,0
90,-0,-0,0,0,0
91,-0,-0,0,0,0
92,-0,-0,0,0,0
93,-0,-0,0,0,0
94,-0,-0,0,0,0
95,-0,-0,0,0,0
96,-0,-0,0,0,0
97,-0,-0,0,0,0
98,-0,-0,0,0,0
99,-0,-0,0,0,0
100,-0,-0,0,0,0
101,-0,-0,0,0,0
102,-0,-0,0,0,0
103,-0,-0,0,0,0
104,-0,-0,0,0,0
105,-0,-0,0,0,0
106,-0,-0,0,0,0
107,-0,-0,0,0,0
108,-0,-0,0,0,0
109,-0,-0,0,0,0
110,-0,-0,0,0,0
111,-0,-0,0,0,0
112,-0,-0,0,0,0
113,-0,-0,0,0,0
114,-0,-0,0,0,0
115,-0,-0,0,0,0
116,-0,-0,0,0,0
117,-0,-0,0,0,0
118,-0,-0,0,0,0
119,-0,-0,0,0,0
120,-0,-0,0,0,0
121,-0,-0,0,0,0
122,-0,-0,0,0,0
123,-0,-0,0,0,0
124,-0,-0,0,0,0
125,-0,-0,0,0,0
126,-0,-0,0,0,0
127,-0,-0,0,0,0
128,-0,-0,0,0,0
129,-0,-0,0,0,0
130,-0,-0,0,0,0
131,-0,-0,0,0,0
132,-0,-0,0,0,0
133,-0,-0,0,0,0
134,-0,-0,0,0,0
135,-0,-0,0,0,0
136,-0,-0,0,0,0
137,-0,-0,0,0,0
138,-0,-0,0,0,0
139,-0,-0,0,0,0
140,-0,-0,0,0,0
141,-0,-0,0,0,0
142,-0,-0,0,0,0
143,-0,-0,0,0,0
144,-0,-0,0,0,0
145,-0,-0,0,0,0
146,-0,-0,0,0,0
147,-0,-0,0,0,0
148,-0,-0,0,0,0
149,-0,-0,0,0,0
150,-0,-0,0,0,0
151,-0,-0,0,0,0
152,-0,-0,0,0,0
153,-0,-0,0,0,0
154,-0,-0,0,0,0
155,-0,-0,0,0,0
156,-0,-0,0,0,0
157,-0,-0,0,0,0
158,-0,-0,0,0,0
159,-0,-0,0,0,0
160,-0,-0.1008,0,0,0
161,-0,-0.1008,0,-0.00192837,0
162,-0,-0.1024,0,-0.00353605,0
163,-0,-0.1024,0,-0.00490697,0
164,0.1008,-0.104,0,-0.0060499,0
165,0.1008,-0.104,0.00192837,-0.00703336,0
166,0.1024,-0.1056,0.00353605,-0.00785326,0
167,0.1024,-0.1056,0.00490697,-0.00856742,0
168,0.104,-0.1072,0.0060499,-0.0091628,0
169,0.104,-0.1072,0.00703336,-0.00968977,0
170,0.1056,-0.1088,0.00785326,-0.0101291,0
171,0.1056,-0.1088,0.00856742,-0.010526,0
172,0.1072,-0.1104,0.0091628,-0.0108569,0
173,0.1072,-0.1104,0.00968977,-0.0111633,0
174,0.1088,-0.112,0.0101291,-0.0114188,0
175,0.1088,-0.112,0.010526,-0.0116624,0
176,0.1104,-0.1136,0.0108569,-0.0118655,0
177,0.1104,-0.1136,0.0111633,-0.0120654,0
178,0.112,-0.1152,0.0114188,-0.012232,0
179,0.112,-0.1152,0.0116624,-0.0124016,0
180,0.1136,-0.1168,0.0118655,-0.0125429,0
181,0.1136,-0.1168,0.0120654,-0.0126914,0
182,0.1152,-0.1184,0.012232,-0.0128151,0
183,0.1152,-0.1184,0.0124016,-0.0129489,0
184,0.1168,-0.12,0.0125429,-0.0130604,0
185,0.1168,-0.12,0.0126914,-0.013184,0
186,0.1184,-0.1216,0.0128151,-0.013287,0
